Auto/Manual,Eng.Capacity,HBC Cat. No.,Description,Title,ABI,Odometer Reading,Reg. number,image_urls,link,Location,Key,Year,Fueltype
5 Speed Manual,1248 (cc),8013575,Engine Does Not Run. Accident Damage,FIAT FIORINO SX 16V M,Category N,165309,OE09PYY,"https://www.hbc.co.uk/assets/2020/01/20/8013575/img_9hyollkd_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_ljsij_rc_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_6493l4fc_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_ee_sf_kz_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_c0o7ytva_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_0rvt1j0__wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img__x2eog_4_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_02xzb74y_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_auh_s4iy_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_egww93wl_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_rx8qs1au_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_xwzxnhpg_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_6xbdju3n_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_qtwyr9xl_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_robjbfub_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_1e2a6p9e_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_iqr3g4j9_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_xtqqdntz_wm.jpg,https://www.hbc.co.uk/assets/2020/01/20/8013575/img_latyunhc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8013575/img_0qmo_1iz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8013575/img_110fu832_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8013575/img_ngj2j6z2_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8013575/img_wkapdt0i_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8013575,Canvey Island,Yes,Manu: 2009,Diesel
5 Speed Manual,1910 (cc),8001471,"When Checked, Engine Ran*. Accident Damage",FIAT DOBLO CARGO SX J,Category S,108427,EX05MXS,"https://hbcweblive.blob.core.windows.net/assets/8001471/img_4lpdw655_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_ibp5jtf6_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_i8d1w44n_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_banfa9jo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_cb8u0mkn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_vjtkzyq2_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_5k4hb8gr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_88ux3jk1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_u3kzkti__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_0xbbfcjp_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_0b_3c9u6_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_saip1om7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_6tvz286t_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_mbocp7n9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_dnictp8z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_1_z8pss0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_wecibix9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_a45e_ob__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_6w16cq2c_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8001471/img_za_agyjm_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8001471,Canvey Island,Yes,Manu: 2005,Diesel
Variable 1 Speed Auto Pe,1797 (cc),8078230X,"When Checked, Ran and Drove. Accident Damage",TOYOTA AURIS ICON + VVT,Category S,97019,FP15WEW,"https://hbcweblive.blob.core.windows.net/assets/8078230/img_f2fb5v_a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_fbz9nvjb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_64gvc08e_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_bvmgvo17_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_tna6qwn2_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_rb3463xx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_byl6onlv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_3oic2rpl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_3y0erbr6_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_0u4_71ey_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_gagbco60_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_61515le4_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_qfc8vopf_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_yohicnae_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_aiqjoe_m_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8078230/img_u7dafl6l_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8078230X,Canvey Island,Yes,Manu: 2015,Hybrid Electric
5 Speed Manual,1399 (cc),8118689,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. Engine Does Not Run. Accident Damage",FORD FIESTA TITANIUM,Category S,,BJ10TSZ,"https://www.hbc.co.uk/assets/2020/04/08/8118689/img_rovofums_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_5kc69ot8_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_5p89rq3i_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_zzgaczj0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_u1nyln51_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_uv7vtzj9_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_0g_jqbur_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_vsf28rj__wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_0f10pokk_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_lx5_qgrj_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_e_8v38pr_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_8whx6niq_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_28b29dfs_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_aezd7fj9_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_ko3us0ku_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_bkk955mu_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_0q1v5a6m_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_on9h7gtx_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_b_x4rin6_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_8tnquwrg_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_lccc67lj_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_pz9g98cj_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_cwr_r3qp_wm.jpg,https://www.hbc.co.uk/assets/2020/04/08/8118689/img_gtrxc4lu_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8118689,HBC Agent Stafford,Yes,Manu: 2010,Diesel
6 Speed Manual,1499 (cc),8006074X,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. When Checked, Ran and Drove. Accident Damage",FORD TRANSIT CONNECT,Category N,53042,LL67TZK,"https://hbcweblive.blob.core.windows.net/assets/8006074/img_y41hzvgf_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_df_z1ibr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_75qr_2po_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_blxw2nmq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_jtjy2ds7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_iuh52z3m_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_1b74j_bf_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_roo97xai_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_nsdo1dd5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_3a2oqz86_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_j7ntbdz__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_vfrukex4_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_baw37pel_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img__t2w_j75_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_zznkld6b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_faa_6hgz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_7g6pr58n_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_us4cv0___wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_ce9cvr8s_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_6re2f93k_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_rtq5e1f3_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_ednka69u_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_yglcw4cd_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8006074/img_mec9gzwu_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8006074X,HBC Agent Stafford,Yes,Manu: 2017,Diesel
,2298 (cc),8004731X,ABI,NISSAN NAVARA TEKNA DCI,,2017,Manual,"https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I1&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I2&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I3&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I4&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I5&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I6&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I7&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I8&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I9&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I10&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I11&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I12&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I13&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I14&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I15&width=640&height=480,https://vis.iaai.com/resizer?imageKeys=90291525~SID~B1~S0~I16&width=640&height=480",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8004731X,FL17EZU,No,2017,
,,7997646X,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. Engine Does Not Run. Accident Damage",Albutt  ShearGra Albutt,,,7997646Z,"https://hbcweblive.blob.core.windows.net/assets/7997646/img_o6e0mulv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_uidoquue_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_j2me4drb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img__d_myiu__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_dlxmvnja_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_29vmbhyn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_snj0h9au_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_pp5qysn7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_hphwxni4_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_l388vi_k_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_al92ew1o_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_wo066066_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7997646/img_mpkhiz5g_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7997646X,HBC Agent Stafford,No,No Reg,
5 Speed Manual,1493 (cc),8121469X,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. When Checked, Ran and Drove. Accident Damage",KIA RIO DOMINO CRDI,Category N,45699,VE11XYH,"https://www.hbc.co.uk/assets/2020/04/17/8121469/img_rut78oq3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_liyf5b1b_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_uj_qw98s_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_v9k3oo4h_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_metze5ws_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_l5hvchm3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_rvj093dm_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_dtw8jy5s_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_4cytmu19_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_fsv99rv1_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_boramvu6_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_u1w2yzqm_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_d6aibddw_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_ei24o89m_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_dw0sblfs_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img__illtlo7_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_k7h4h07z_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_w8v8rt76_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_igmuh19j_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_l78e7sif_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_2sx2krgl_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_w75g0t51_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_p6om36lv_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_vjwy2gpx_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img__4z2e2i1_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_vju5yqn7_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_eimopkoo_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_lev30ypo_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_jeg3wt7z_wm.jpg,https://www.hbc.co.uk/assets/2020/04/17/8121469/img_zoffp0bv_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8121469X,HBC Agent Stafford,Yes,Manu: 2011,Diesel
,2143 (cc),7961113X,Engine Does Not Run. Accident Damage,MERCEDES-BEN VITO TAXI+ C-PAC,Category S,96397,LK67OGE,"https://www.hbc.co.uk/assets/2019/12/11/7961113/img_7rtqpz6h_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_xjteujge_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_5yuuh2d7_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_x_qbf5ct_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_ujjc0o_m_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_fur1bt3c_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_6d0ox3vh_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_bymxulf7_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_hk8eqdv9_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_7yz4syyj_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_91w9yq34_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_5l1hpkgw_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_paqa80x2_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_hd41y66r_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_a9c2gqt3_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_oy_7a8j7_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_fh8ggcyx_wm.jpg,https://www.hbc.co.uk/assets/2019/12/11/7961113/img_a6q788r0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7961113/img_i9zmnjob_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7961113/img_o78l0k4e_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7961113/img_4ba9haue_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7961113/img_q6qwwu_z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7961113/img_azt8fms9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7961113/img_xxpw1yg9_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7961113X,Canvey Island,Yes,Manu: 2017,Diesel
5 Speed Manual,1560 (cc),8123879,"When Checked, Ran and Drove. Accident Damage",CITROEN DS3 DSTYLE + E-H,Category N,36250,KN63NNG,"https://www.hbc.co.uk/assets/2020/04/22/8123879/img_9mshu4pj_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_s5lh_i_9_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_qjt37xc7_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_ceeb7bpt_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_xc2l7rr4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_l9sa6dpk_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_b69sromj_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_cpk00e7w_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_y68xvtlp_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_f3cnrmo7_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_bpq92eif_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_y29uloeo_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_2kcnu2c0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_lonv1zn3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_24vhjpw0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_t1x3k8ax_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_7q2ak9g__wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_jf2mzj_s_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_3vn9jqd3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_4paw25x__wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_piyojjp8_wm.jpg,https://www.hbc.co.uk/assets/2020/04/22/8123879/img_4w7a6rju_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8123879,Teesside,Yes,Manu: 2013,Diesel
6 Speed Manual,1598 (cc),7957301,"When Checked, Ran and Drove. Accident Damage",VAUXHALL ASTRA TECH LINE,Category S,41220,KY17LTA,"https://hbcweblive.blob.core.windows.net/assets/7957301/img_ls0hlta5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_pya_y8u9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_jisr4i2__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_158bjppq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_tahdci5l_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_ch0m2g3c_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_pf5diiw0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_k4v4asw3_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_xxrczbjs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_yo0f12sx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_ce9liim7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_47y1t4yz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img__l764ore_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_u_gfr9_y_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_dq_ui2yo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_ckmr7zka_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_7tutn5at_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_muj646hm_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7957301/img_x3yxmemr_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7957301,Canvey Island,Yes,Manu: 2017,Diesel
5 Speed Manual,998 (cc),8119273,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. When Checked, Ran and Drove. Accident Damage",PEUGEOT 107 VERVE,Category N,74799,MJ09WBU,"https://www.hbc.co.uk/assets/2020/04/14/8119273/img_n_l13dsk_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_7hylzy7v_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_ari8hfut_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_v1ufkzq4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_y9530lh__wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_4anla5qg_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_pf3or325_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img__i2hnw8t_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_5d6zwapx_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_e9jkc351_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_5kwajv9m_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_hdk1sodl_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_tgnvsedc_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_4r5ffrg4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_4_o134r__wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_dg4hdx7t_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_6fc9tsfl_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_nb6l23x3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_ofvg__f0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_a1vcfthy_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_htlnin5y_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_p_ub5sr4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_halo805r_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119273/img_fw_cit4b_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8119273,HBC Agent Stafford,Yes,Manu: 2009,Petrol
